Food_Name,Main_Ingredients,Description,Food_Health,Food_Class,Region,Spice_Level,Price_Range
Abacha,"African salad, utazi leaves, oil, fish",Cassava-based salad with spicy fish,Healthy,Traditional,South-East,Spicy,Affordable
Abacha and Ugba (Regular),"Abacha (Cassava Fufu), Ugba (Oilbean Seeds)",Shredded cassava fufu served with oilbean seeds.,Healthy,Traditional,Eastern,None,Affordable
Abacha and Ugba,"African salad, oil, fish, fermented oil bean seeds (ugba)",Cassava-based salad with spicy fish and fermented oil bean seeds,Healthy,Salad,South-East,Spicy,Affordable
Afang Soup (Spicy),"Afang Leaves, Water yam, Seafood","Spicy soup made with afang leaves, water yam, and seafood.",Healthy,Traditional,Southern,Spicy,Affordable
Afang Soup,"Afang leaves, waterleaf, meat, fish",Nutritious soup made with wild spinach and waterleaf,Healthy,Traditional,South-South,Mild,Affordable
Afang Soup (Seafood),"Afang leaves, expensive seafood (lobster, prawns), waterleaf","Nutritious soup made with wild spinach, expensive seafood like lobster and prawns, and waterleaf",Healthy,Traditional,South-South,Mild,Very Expensive
Afia Efere,"Waterleaf, periwinkle, meat, fish",Light soup made with waterleaf and seafood,Healthy,Traditional,South-South,Mild,Affordable
Agege Bread,"Flour, Yeast, Sugar","Soft, slightly sweet bread with a crispy crust.",Non-Healthy,Modern,Lagos,None,Affordable
Agege Bread (Large),"Flour, yeast, sugar","Large version of soft, slightly sweet bread with a crispy crust",Not Healthy,Bread,Lagos,None,Affordable
Agege Bread (Special),"Flour, yeast, sugar, special palm oil",Special version of Agege bread made with a high-quality palm oil for extra flavor,Not Healthy,Bread,Lagos,None,Moderate
Agidi (White),"Maize flour, water","White cornmeal pudding, often served with stews or soups",Healthy,Breakfast,Nationwide,Mild,Affordable
Akara,"Black-eyed peas, onions, peppers","Fried bean cakes, often served as a breakfast",Healthy,Traditional,South,Mild,Affordable
Amala and Ewedu Soup,"Yam flour, jute leaves, meat, fish",Thick yam-based swallow with jute leaf soup,Moderately Healthy,Traditional,South-West,Mild,Affordable
Ayamase Sauce,"Green peppers, onions, locust beans, spices","Spicy green pepper sauce, often paired with Ofada rice",Moderately Healthy,Modern,South-West,Spicy,Affordable
Banga Soup (Regular),"Palm Nut Fruit, Seafood",Thick soup made with palm nut fruit and seafood.,Healthy (varies),Traditional,Southern,Mild,Affordable
Banga Soup ,"Palm fruit extract, meat, fish, spices",Palm fruit soup with assorted meats and fish,Healthy,Traditional,South-South,Mild,Affordable
Banga Soup (Full),"Palm fruit extract, assorted protein (meat, fish, offal), spices","Full version of Banga soup with a variety of meats, fish, and offal for a richer flavor",Healthy,Soup,South-South,Mild,Moderate-Expensive
